note,cadmium_red_medium_hue,medium_magenta,cadmium_yellow_medium_hue,primary_yellow,ultramarine_blue,phthalocyanine_blue,burnt_umber,mars_black,titanium_white,r,g,b
CRMH,1,0,0,0,0,0,0,0,0,162,42,42
MM,0,1,0,0,0,0,0,0,0,151,58,95
CYMH,0,0,1,0,0,0,0,0,0,205,164,4
PY,0,0,0,1,0,0,0,0,0,207,180,11
UB,0,0,0,0,1,0,0,0,0,30,51,122
PB,0,0,0,0,0,1,0,0,0,13,36,94
BU,0,0,0,0,0,0,1,0,0,72,42,26
MB,0,0,0,0,0,0,0,1,0,0,0,0
TW,0,0,0,0,0,0,0,0,1,255,255,255
CRMH+TW,1,0,0,0,0,0,0,0,1,171,86,80
CRMH+TW,1,0,0,0,0,0,0,0,9,189,120,111
MM+TW,0,1,0,0,0,0,0,0,1,159,86,114
MM+TW,0,1,0,0,0,0,0,0,9,191,140,157
CYMH+TW,0,0,1,0,0,0,0,0,1,202,171,57
CYMH+TW,0,0,1,0,0,0,0,0,9,209,185,97
PY+TW,0,0,0,1,0,0,0,0,1,203,181,52
PY+TW,0,0,0,1,0,0,0,0,9,209,193,100
UB+TW,0,0,0,0,1,0,0,0,1,73,91,128
UB+TW,0,0,0,0,1,0,0,0,9,125,136,159
PB+TW,0,0,0,0,0,1,0,0,1,31,77,127
PB+TW,0,0,0,0,0,1,0,0,9,85,126,157
BU+TW,0,0,0,0,0,0,1,0,1,108,79,56
BU+TW,0,0,0,0,0,0,1,0,9,146,119,92
MB+TW,0,0,0,0,0,0,0,1,1,45,43,41
MB+TW,0,0,0,0,0,0,0,1,9,73,72,69
CRMH+CYMH,2.5,0,7.5,0,0,0,0,0,0,179,70,33
CRMH+CYMH,1,0,1,0,0,0,0,0,0,177,61,36
CRMH+CYMH,7.5,0,2.5,0,0,0,0,0,0,170,46,32

